site,yr,date,plotid,clean_code2,hits
nutnet,2013,2013-07-30,B2_5,KOMY,49
nutnet,2013,2013-07-30,B2_5,LEPY2,1
nutnet,2013,2013-07-30,B2_5,LLSE,13
nutnet,2013,2013-07-30,B2_5,POARG,2
nutnet,2013,2013-07-30,B2_5,POVI3,1
nutnet,2013,2013-07-30,B2_5,SEDES,5
nutnet,2013,2013-07-30,B2_5,SELA,1
nutnet,2013,2013-07-30,B2_5,SOSIN,19
nutnet,2013,2013-07-30,B2_5,TEACC,2
nutnet,2013,2013-07-30,B2_5,TRSP2,2
nutnet,2013,2013-07-30,B2_5,VIOLA,1
nutnet,2013,2013-07-30,B2_6,2BARE,1
nutnet,2013,2013-07-30,B2_6,2LICHN,1
nutnet,2013,2013-07-30,B2_6,2LTR,3
nutnet,2013,2013-07-30,B2_6,2RF,1
nutnet,2013,2013-07-30,B2_6,ALGE,6
nutnet,2013,2013-07-30,B2_6,ARFEF3,6
nutnet,2013,2013-07-30,B2_6,ARSC,1
nutnet,2013,2013-07-30,B2_6,CARUD,47
nutnet,2013,2013-07-30,B2_6,CAUN2,1
nutnet,2013,2013-07-30,B2_6,CEARS2,4
nutnet,2013,2013-07-30,B2_6,DECE,1
nutnet,2013,2013-07-30,B2_6,FEBR,4
nutnet,2013,2013-07-30,B2_6,GERO2,5
nutnet,2013,2013-07-30,B2_6,KOMY,40
nutnet,2013,2013-07-30,B2_6,LLSE,1
nutnet,2013,2013-07-30,B2_6,MIOB2,15
nutnet,2013,2013-07-30,B2_6,ORALA,8
nutnet,2013,2013-07-30,B2_6,PHPU5,3
nutnet,2013,2013-07-30,B2_6,POAL2,1
nutnet,2013,2013-07-30,B2_6,POBI6,2
nutnet,2013,2013-07-30,B2_6,PRAN,1
nutnet,2013,2013-07-30,B2_6,SARH2,1
nutnet,2013,2013-07-30,B2_6,SEDES,1
nutnet,2013,2013-07-30,B2_6,SELA,1
nutnet,2013,2013-07-30,B2_6,SIACS2,5
nutnet,2013,2013-07-30,B2_6,SOSIN,5
nutnet,2013,2013-07-30,B2_6,TEACC,2
nutnet,2013,2013-07-30,B2_6,TRSP2,4
nutnet,2013,2013-07-30,B2_7,2LTR,2
nutnet,2013,2013-07-30,B2_7,ALGE,1
nutnet,2013,2013-07-30,B2_7,ARFEF3,15
nutnet,2013,2013-07-30,B2_7,ARSC,2
nutnet,2013,2013-07-30,B2_7,CARUD,3
nutnet,2013,2013-07-30,B2_7,CAUN2,6
nutnet,2013,2013-07-30,B2_7,CEARS2,2
nutnet,2013,2013-07-30,B2_7,CHJA,2
nutnet,2013,2013-07-30,B2_7,DECE,7
nutnet,2013,2013-07-30,B2_7,FEBR,6
nutnet,2013,2013-07-30,B2_7,GERO2,4
nutnet,2013,2013-07-30,B2_7,KOMY,58
nutnet,2013,2013-07-30,B2_7,LLSE,4
nutnet,2013,2013-07-30,B2_7,MELA3,5
nutnet,2013,2013-07-30,B2_7,MIOB2,17
nutnet,2013,2013-07-30,B2_7,ORALA,4
nutnet,2013,2013-07-30,B2_7,POARG,10
nutnet,2013,2013-07-30,B2_7,POVI3,4
nutnet,2013,2013-07-30,B2_7,PRAN,0.25
nutnet,2013,2013-07-30,B2_7,SEDES,5
nutnet,2013,2013-07-30,B2_7,SOSIN,2
nutnet,2013,2013-07-30,B2_7,TEACC,0.25
nutnet,2013,2013-07-30,B2_7,TRSP2,8
nutnet,2013,2013-07-30,B2_7,VIOLA,1
